,productname,prices,Color
0,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹260,"Jazz Green, In the Ear"
1,"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...","₹1,299","Iris Black, On the Ear"
2,"Aroma NB120 Amaze Upto 50 Hrs* Playtime, Dual Pairing F...",₹261,"Acoustic Black, In the Ear"
3,boAt boAt BassHeads 900 Wired Headphones Wired,₹879,"Carbon Black, On the Ear"
4,Aroma NB121 Corridor Upto 40 Hours Playtime* Fast Charg...,₹219,"Carbon Black, In the Ear"
5,GOBOULT (formerly Boult) Bluetooth & Wired,"₹1,599","Powder Blue, On the Ear"
6,Caidea TWS7 Sufi V5.4 Upto 30Hrs Playtime* Type C Fast ...,₹299,"Vibrant Black, True Wireless"
7,"TRIGGR Trinity 3 with Fabric Finish, Dual Pairing, 50H ...","₹1,499","Rustic Beige, On the Ear"
8,"ZEBRONICS Thunder Pro, With 60h Backup, BT v5.3, Gaming...",₹899,"Black, On the Ear"
9,Portronics Conch Theta C Type C Wired Earphone With HD ...,₹299,"Black, In the Ear"
10,"Caidea TW301 Blogger Upto 40H Playtime*,ENC,Dual Pairin...",₹294,"Glass White, True Wireless"
11,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","White Sabre, On the Ear"
12,"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm...",₹599,"Black, Green, True Wireless"
13,Unix Wireless Headphones I 12 Hrs PlaytimeI 40MM Driver...,₹746,"White, On the Ear"
14,"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",₹799,"Fern Green, In the Ear"
15,Aroma NB138 Ascrow 32dB Active Noice Cancellation 70H* ...,₹599,"Midnight Black, True Wireless"
16,"Caidea CNB100 Fog Upto 100 Hrs* Music,ENC,Voice Changer...",₹300,"Matte Olive Green, In the Ear"
17,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"Black, True Wireless"
18,"ZEBRONICS Zeb- Thunder, With 60H Backup, BT v5.3, Gamin...",₹799,"Blue, On the Ear"
19,"GOBOULT Q 70Hr, ENC Mic, 40mm Bass Boosted Drivers, 4EQ...","₹1,599","Black, On the Ear"
20,"Noise Airwave Max 4 with 70 Hours Playtime,ENC wiith Du...","₹2,499","Calm Beige, On the Ear"
21,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹248,"Blue, In the Ear"
22,MarQ by Flipkart Rhythm Q0824 30 Hours Playtime Type C ...,₹499,"Blue, True Wireless"
23,Hectic Black Earbuds With Premium Quality Sound Bluetoo...,₹273,"Black, True Wireless"
24,"boAt Rockerz 512 ANC, 40dB Hybrid ANC, 80H Battery, ENx...","₹2,999","Bold Blue, On the Ear"
25,"Portronics Muffs M2 Bluetooth Headphones Over Ear,40 Hr...",₹999,"Black, On the Ear"
26,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
27,"Noise TWO with 50 Hours Playtime, Low latency (up to 42...","₹1,699","Serene Blue, On the Ear"
28,MZ NB111 (Wireless Headphone) Magnetic Neckband 250h st...,₹210,"Black, In the Ear"
29,TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth,₹269,"Blue, In the Ear"
30,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
31,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
32,"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stre...",₹999,"Deep Blue, In the Ear"
33,"Aroma NB120 Banner Upto 40H Playtime*, ENC, Fast Chargi...",₹229,"Metal Black, In the Ear"
